,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,casual,registered,cnt,en_dteday
327,328,28,1,0,1,3,False,6,2,0.16,0.59,0.0,1,7,8,28
328,329,28,1,0,1,4,False,6,2,0.16,0.59,0.0,0,5,5,28
329,330,28,1,0,1,5,False,6,1,0.16,0.59,0.0,0,1,1,28
330,331,28,1,0,1,6,False,6,1,0.14,0.63,0.1045,1,2,3,28
331,332,28,1,0,1,7,False,6,1,0.14,0.63,0.0,1,9,10,28
332,333,28,1,0,1,8,False,6,1,0.14,0.63,0.1343,1,22,23,28
333,334,28,1,0,1,9,False,6,1,0.16,0.64,0.1343,2,31,33,28
334,335,28,1,0,1,10,False,6,1,0.18,0.59,0.1642,2,57,59,28
335,336,28,1,0,1,11,False,6,1,0.2,0.55,0.2239,18,54,72,28
336,337,28,1,0,1,12,False,6,1,0.24,0.48,0.2239,15,74,89,28
337,338,28,1,0,1,13,False,6,1,0.28,0.38,0.2985,21,80,101,28
338,339,28,1,0,1,14,False,6,1,0.3,0.39,0.2836,26,92,118,28
339,340,28,1,0,1,15,False,6,2,0.32,0.36,0.194,21,108,129,28
340,341,28,1,0,1,16,False,6,2,0.34,0.34,0.194,33,95,128,28
341,342,28,1,0,1,17,False,6,2,0.32,0.36,0.2836,29,54,83,28
342,343,28,1,0,1,18,False,6,2,0.3,0.45,0.2537,15,69,84,28
343,344,28,1,0,1,19,False,6,2,0.32,0.39,0.2537,14,60,74,28
344,345,28,1,0,1,20,False,6,2,0.32,0.39,0.2537,6,35,41,28
345,346,28,1,0,1,21,False,6,2,0.32,0.39,0.2239,6,51,57,28
346,347,28,1,0,1,22,False,6,2,0.3,0.42,0.1045,0,26,26,28
347,348,28,1,0,1,23,False,6,1,0.3,0.45,0.2836,5,39,44,28
348,349,29,1,0,1,0,False,0,1,0.26,0.56,0.0,6,33,39,29
349,350,29,1,0,1,1,False,0,1,0.26,0.56,0.1343,4,19,23,29
350,351,29,1,0,1,2,False,0,1,0.26,0.56,0.0896,3,13,16,29
351,352,29,1,0,1,3,False,0,1,0.22,0.69,0.0,9,6,15,29
352,353,29,1,0,1,4,False,0,1,0.26,0.56,0.1642,0,1,1,29
353,354,29,1,0,1,5,False,0,2,0.26,0.56,0.1642,1,1,2,29
354,355,29,1,0,1,6,False,0,2,0.26,0.56,0.1642,0,1,1,29
355,356,29,1,0,1,7,False,0,2,0.24,0.56,0.2985,0,3,3,29
356,357,29,1,0,1,8,False,0,1,0.22,0.55,0.2836,0,18,18,29
357,358,29,1,0,1,9,False,0,1,0.22,0.51,0.2537,3,29,32,29
358,359,29,1,0,1,10,False,0,1,0.22,0.51,0.2836,8,71,79,29
359,360,29,1,0,1,11,False,0,1,0.24,0.44,0.2537,23,70,93,29
360,361,29,1,0,1,12,False,0,1,0.24,0.41,0.2836,29,75,104,29
361,362,29,1,0,1,13,False,0,1,0.26,0.35,0.2985,23,95,118,29
362,363,29,1,0,1,14,False,0,1,0.28,0.36,0.2537,22,69,91,29
363,364,29,1,0,1,15,False,0,1,0.26,0.38,0.2537,35,78,113,29
364,365,29,1,0,1,16,False,0,1,0.24,0.38,0.2239,22,77,99,29
365,366,29,1,0,1,17,False,0,1,0.22,0.37,0.2537,23,82,105,29
366,367,29,1,0,1,18,False,0,1,0.2,0.4,0.1642,11,56,67,29
367,368,29,1,0,1,19,False,0,1,0.18,0.47,0.1343,14,47,61,29
368,369,29,1,0,1,20,False,0,1,0.18,0.47,0.1642,7,50,57,29
369,370,29,1,0,1,21,False,0,1,0.18,0.51,0.1642,6,22,28,29
370,371,29,1,0,1,22,False,0,2,0.2,0.49,0.1343,2,19,21,29
371,372,29,1,0,1,23,False,0,2,0.2,0.4,0.1045,0,18,18,29
372,373,30,1,0,1,0,True,1,2,0.2,0.47,0.2239,1,16,17,30
373,374,30,1,0,1,1,True,1,2,0.2,0.44,0.194,1,15,16,30
374,375,30,1,0,1,2,True,1,2,0.18,0.43,0.2537,0,8,8,30
375,376,30,1,0,1,3,True,1,2,0.18,0.43,0.194,0,2,2,30
376,377,30,1,0,1,4,True,1,2,0.18,0.43,0.1343,1,2,3,30
377,378,30,1,0,1,5,True,1,2,0.18,0.43,0.1642,0,1,1,30
378,379,30,1,0,1,6,True,1,2,0.18,0.43,0.194,0,5,5,30
379,380,30,1,0,1,7,True,1,2,0.16,0.5,0.1343,4,9,13,30
380,381,30,1,0,1,8,True,1,2,0.16,0.47,0.2239,3,30,33,30
381,382,30,1,0,1,9,True,1,2,0.16,0.47,0.2239,8,39,47,30
382,383,30,1,0,1,10,True,1,2,0.16,0.5,0.2537,7,50,57,30
383,384,30,1,0,1,11,True,1,2,0.16,0.55,0.194,9,55,64,30
384,385,30,1,0,1,12,True,1,2,0.18,0.47,0.1343,10,70,80,30
385,386,30,1,0,1,13,True,1,2,0.18,0.47,0.1343,13,80,93,30
386,387,30,1,0,1,14,True,1,2,0.18,0.43,0.1045,12,74,86,30
387,388,30,1,0,1,15,True,1,2,0.2,0.47,0.1642,21,72,93,30
388,389,30,1,0,1,16,True,1,2,0.2,0.47,0.1642,6,76,82,30
389,390,30,1,0,1,17,True,1,1,0.2,0.51,0.194,4,67,71,30
390,391,30,1,0,1,18,True,1,2,0.18,0.55,0.2537,7,85,92,30
391,392,30,1,0,1,19,True,1,3,0.18,0.59,0.194,2,58,60,30
392,393,30,1,0,1,20,True,1,3,0.16,0.8,0.194,4,29,33,30
393,394,30,1,0,1,21,True,1,3,0.16,0.8,0.194,3,24,27,30
394,395,30,1,0,1,22,True,1,3,0.14,0.93,0.2537,0,13,13,30
395,396,30,1,0,1,23,True,1,3,0.16,0.86,0.2836,1,3,4,30
396,397,31,1,0,1,12,False,2,2,0.2,0.86,0.3284,0,3,3,31
397,398,31,1,0,1,13,False,2,2,0.2,0.86,0.2239,0,22,22,31
398,399,31,1,0,1,14,False,2,2,0.22,0.8,0.1642,2,26,28,31
399,400,31,1,0,1,15,False,2,2,0.22,0.87,0.1642,3,32,35,31
400,401,31,1,0,1,16,False,2,2,0.22,0.87,0.194,0,61,61,31
401,402,31,1,0,1,17,False,2,2,0.22,0.82,0.194,1,124,125,31
402,403,31,1,0,1,18,False,2,2,0.22,0.8,0.1642,1,132,133,31
403,404,31,1,0,1,19,False,2,2,0.22,0.8,0.1343,1,98,99,31
404,405,31,1,0,1,20,False,2,2,0.22,0.87,0.0,0,83,83,31
405,406,31,1,0,1,21,False,2,2,0.22,0.93,0.1045,0,41,41,31
406,407,31,1,0,1,22,False,2,2,0.22,0.93,0.0896,0,33,33,31
407,408,31,1,0,1,23,False,2,2,0.22,0.93,0.0,1,19,20,31
408,409,32,1,0,1,0,False,3,2,0.22,0.93,0.0,0,3,3,32
409,410,32,1,0,1,1,False,3,3,0.22,0.93,0.1343,1,6,7,32
410,411,32,1,0,1,2,False,3,3,0.22,0.93,0.1343,0,3,3,32
411,412,32,1,0,1,4,False,3,3,0.22,0.93,0.1343,1,1,2,32
412,413,32,1,0,1,5,False,3,2,0.22,0.93,0.0896,0,7,7,32
413,414,32,1,0,1,6,False,3,2,0.22,0.93,0.0896,0,32,32,32
414,415,32,1,0,1,7,False,3,2,0.24,0.92,0.1045,1,89,90,32
415,416,32,1,0,1,8,False,3,2,0.24,0.93,0.1045,1,196,197,32
416,417,32,1,0,1,9,False,3,2,0.24,0.93,0.1045,2,107,109,32
417,418,32,1,0,1,10,False,3,2,0.26,0.93,0.1343,1,46,47,32
418,419,32,1,0,1,11,False,3,2,0.28,0.87,0.0896,5,47,52,32
419,420,32,1,0,1,12,False,3,2,0.3,0.81,0.0896,5,65,70,32
420,421,32,1,0,1,13,False,3,1,0.4,0.62,0.2836,11,67,78,32
421,422,32,1,0,1,14,False,3,1,0.4,0.58,0.2537,7,68,75,32
422,423,32,1,0,1,15,False,3,1,0.4,0.54,0.2836,4,78,82,32
423,424,32,1,0,1,16,False,3,1,0.38,0.58,0.3881,10,94,104,32
424,425,32,1,0,1,17,False,3,1,0.36,0.57,0.3284,7,190,197,32
425,426,32,1,0,1,18,False,3,1,0.34,0.61,0.2836,5,156,161,32
426,427,32,1,0,1,19,False,3,1,0.32,0.57,0.4179,4,108,112,32
427,428,32,1,0,1,20,False,3,1,0.32,0.49,0.2985,2,74,76,32
428,429,32,1,0,1,21,False,3,1,0.32,0.49,0.4179,4,55,59,32
429,430,32,1,0,1,22,False,3,1,0.3,0.52,0.1642,6,53,59,32
430,431,32,1,0,1,23,False,3,1,0.3,0.52,0.4627,1,27,28,32
431,432,33,1,0,1,0,False,4,1,0.26,0.56,0.3881,5,8,13,33
432,433,33,1,0,1,1,False,4,1,0.26,0.56,0.0,2,3,5,33
433,434,33,1,0,1,2,False,4,1,0.26,0.56,0.0,0,2,2,33
434,435,33,1,0,1,3,False,4,1,0.26,0.56,0.1642,0,1,1,33
435,436,33,1,0,1,4,False,4,1,0.26,0.56,0.1642,0,1,1,33
436,437,33,1,0,1,5,False,4,1,0.24,0.6,0.2239,0,6,6,33
437,438,33,1,0,1,6,False,4,1,0.22,0.6,0.2239,0,35,35,33
438,439,33,1,0,1,7,False,4,1,0.22,0.55,0.2239,1,100,101,33
439,440,33,1,0,1,8,False,4,1,0.22,0.55,0.2836,2,247,249,33
440,441,33,1,0,1,9,False,4,2,0.24,0.52,0.2239,3,140,143,33
441,442,33,1,0,1,10,False,4,1,0.26,0.48,0.2985,1,56,57,33
442,443,33,1,0,1,11,False,4,2,0.28,0.45,0.1642,5,63,68,33
443,444,33,1,0,1,12,False,4,2,0.3,0.42,0.0,7,77,84,33
444,445,33,1,0,1,13,False,4,2,0.28,0.45,0.1045,12,86,98,33
445,446,33,1,0,1,14,False,4,2,0.3,0.45,0.1343,6,75,81,33
446,447,33,1,0,1,15,False,4,2,0.32,0.45,0.194,8,62,70,33
447,448,33,1,0,1,16,False,4,2,0.3,0.49,0.1343,8,83,91,33
448,449,33,1,0,1,17,False,4,2,0.3,0.49,0.1045,8,207,215,33
449,450,33,1,0,1,18,False,4,2,0.26,0.56,0.194,1,184,185,33
450,451,33,1,0,1,19,False,4,1,0.26,0.56,0.3284,6,146,152,33
451,452,33,1,0,1,20,False,4,2,0.26,0.6,0.2836,2,124,126,33
452,453,33,1,0,1,21,False,4,2,0.24,0.6,0.2537,3,54,57,33
453,454,33,1,0,1,22,False,4,2,0.24,0.65,0.2836,0,56,56,33
454,455,33,1,0,1,23,False,4,2,0.24,0.65,0.3284,3,28,31,33
455,456,34,1,0,1,0,False,5,2,0.24,0.7,0.2537,1,20,21,34
456,457,34,1,0,1,1,False,5,2,0.24,0.7,0.2537,0,6,6,34
457,458,34,1,0,1,2,False,5,3,0.24,0.75,0.1642,0,2,2,34
458,459,34,1,0,1,3,False,5,3,0.22,0.8,0.2985,0,1,1,34
459,460,34,1,0,1,4,False,5,2,0.22,0.87,0.0896,0,1,1,34
460,461,34,1,0,1,5,False,5,1,0.24,0.6,0.4179,1,4,5,34
461,462,34,1,0,1,6,False,5,1,0.22,0.55,0.2537,0,27,27,34
462,463,34,1,0,1,7,False,5,1,0.2,0.51,0.2836,2,66,68,34
463,464,34,1,0,1,8,False,5,1,0.2,0.47,0.3284,7,210,217,34
464,465,34,1,0,1,9,False,5,1,0.2,0.51,0.3582,7,159,166,34
465,466,34,1,0,1,10,False,5,1,0.2,0.47,0.4627,6,57,63,34
466,467,34,1,0,1,11,False,5,1,0.22,0.41,0.4627,6,53,59,34
467,468,34,1,0,1,12,False,5,1,0.22,0.27,0.5821,11,67,78,34
468,469,34,1,0,1,13,False,5,1,0.2,0.21,0.5821,8,65,73,34
469,470,34,1,0,1,14,False,5,1,0.2,0.25,0.5224,6,56,62,34
470,471,34,1,0,1,15,False,5,1,0.16,0.26,0.4478,4,61,65,34
471,472,34,1,0,1,16,False,5,1,0.16,0.26,0.3582,0,97,97,34
472,473,34,1,0,1,17,False,5,1,0.14,0.28,0.3582,10,151,161,34
473,474,34,1,0,1,18,False,5,1,0.12,0.3,0.2537,1,119,120,34
474,475,34,1,0,1,19,False,5,1,0.12,0.3,0.3284,3,93,96,34
475,476,34,1,0,1,20,False,5,1,0.1,0.33,0.4179,1,52,53,34
476,477,34,1,0,1,21,False,5,1,0.08,0.38,0.2836,0,41,41,34
477,478,34,1,0,1,22,False,5,1,0.06,0.41,0.3881,1,33,34,34
478,479,34,1,0,1,23,False,5,1,0.06,0.38,0.3284,0,27,27,34
489,490,35,1,0,1,11,False,6,2,0.06,0.38,0.1343,4,59,63,35
490,491,35,1,0,1,12,False,6,2,0.06,0.38,0.1045,10,60,70,35
491,492,35,1,0,1,13,False,6,1,0.08,0.35,0.0,12,72,84,35
492,493,35,1,0,1,14,False,6,1,0.1,0.33,0.1045,11,64,75,35
493,494,35,1,0,1,15,False,6,1,0.12,0.28,0.0,10,93,103,35
494,495,35,1,0,1,16,False,6,1,0.12,0.28,0.194,11,72,83,35
495,496,35,1,0,1,17,False,6,1,0.12,0.28,0.0,8,59,67,35
496,497,35,1,0,1,18,False,6,1,0.08,0.35,0.194,0,54,54,35
497,498,35,1,0,1,19,False,6,1,0.08,0.35,0.1343,6,53,59,35
498,499,35,1,0,1,20,False,6,1,0.06,0.45,0.1642,1,44,45,35
499,500,35,1,0,1,21,False,6,1,0.06,0.41,0.0896,0,39,39,35
500,501,35,1,0,1,22,False,6,1,0.06,0.49,0.0,7,23,30,35
508,509,36,1,0,1,7,False,0,1,0.08,0.58,0.1642,1,1,2,36
509,510,36,1,0,1,8,False,0,1,0.06,0.62,0.1642,2,17,19,36
510,511,36,1,0,1,9,False,0,1,0.1,0.54,0.3582,3,25,28,36
511,512,36,1,0,1,10,False,0,1,0.14,0.46,0.3881,7,51,58,36
512,513,36,1,0,1,11,False,0,1,0.14,0.43,0.2239,22,77,99,36
513,514,36,1,0,1,12,False,0,1,0.16,0.37,0.4627,24,92,116,36
514,515,36,1,0,1,13,False,0,1,0.14,0.33,0.3881,12,75,87,36
515,516,36,1,0,1,14,False,0,1,0.16,0.28,0.3582,17,93,110,36
516,517,36,1,0,1,15,False,0,1,0.16,0.28,0.3582,13,64,77,36
517,518,36,1,0,1,16,False,0,1,0.16,0.26,0.3284,9,56,65,36
518,519,36,1,0,1,17,False,0,1,0.14,0.26,0.3881,5,50,55,36
519,520,36,1,0,1,18,False,0,1,0.12,0.3,0.2537,5,44,49,36
520,521,36,1,0,1,19,False,0,1,0.12,0.3,0.2836,5,45,50,36
521,522,36,1,0,1,20,False,0,1,0.1,0.36,0.2537,4,31,35,36
522,523,36,1,0,1,21,False,0,1,0.1,0.36,0.194,5,20,25,36
523,524,36,1,0,1,22,False,0,1,0.08,0.38,0.194,5,23,28,36
524,525,36,1,0,1,23,False,0,1,0.06,0.41,0.2239,4,17,21,36
525,526,37,1,0,1,0,False,1,1,0.06,0.41,0.194,0,7,7,37
533,534,37,1,0,1,9,False,1,1,0.06,0.41,0.0,4,98,102,37
534,535,37,1,0,1,10,False,1,1,0.1,0.42,0.0,6,34,40,37
535,536,37,1,0,1,11,False,1,1,0.1,0.46,0.1343,3,43,46,37
536,537,37,1,0,1,12,False,1,2,0.12,0.42,0.194,11,52,63,37
537,538,37,1,0,1,13,False,1,2,0.14,0.43,0.2239,6,54,60,37
538,539,37,1,0,1,14,False,1,2,0.14,0.46,0.2239,2,43,45,37
539,540,37,1,0,1,15,False,1,1,0.16,0.4,0.1642,7,50,57,37
540,541,37,1,0,1,16,False,1,1,0.16,0.47,0.2537,4,66,70,37
541,542,37,1,0,1,17,False,1,1,0.14,0.5,0.2537,6,178,184,37
542,543,37,1,0,1,18,False,1,1,0.14,0.59,0.194,8,145,153,37
543,544,37,1,0,1,19,False,1,1,0.14,0.54,0.1642,5,101,106,37
544,545,37,1,0,1,20,False,1,1,0.14,0.59,0.194,1,80,81,37
545,546,37,1,0,1,21,False,1,1,0.14,0.63,0.1642,6,53,59,37
546,547,37,1,0,1,22,False,1,2,0.14,0.63,0.2239,3,32,35,37
547,548,37,1,0,1,23,False,1,2,0.16,0.64,0.2537,3,21,24,37
548,549,38,1,0,1,0,False,2,2,0.16,0.69,0.2836,3,6,9,38
549,550,38,1,0,1,1,False,2,2,0.16,0.69,0.1642,0,5,5,38
550,551,38,1,0,1,2,False,2,1,0.16,0.69,0.2239,0,2,2,38
551,552,38,1,0,1,4,False,2,1,0.14,0.74,0.1045,0,1,1,38
552,553,38,1,0,1,5,False,2,1,0.14,0.74,0.2239,0,9,9,38
553,554,38,1,0,1,6,False,2,1,0.16,0.74,0.1045,1,35,36,38
554,555,38,1,0,1,7,False,2,1,0.16,0.74,0.2239,5,103,108,38
555,556,38,1,0,1,8,False,2,2,0.16,0.74,0.1343,5,233,238,38
556,557,38,1,0,1,9,False,2,2,0.2,0.64,0.0896,10,134,144,38
557,558,38,1,0,1,10,False,2,2,0.22,0.6,0.1045,6,49,55,38
558,559,38,1,0,1,11,False,2,2,0.24,0.6,0.1343,6,55,61,38
559,560,38,1,0,1,12,False,2,2,0.26,0.56,0.0896,21,85,106,38
560,561,38,1,0,1,13,False,2,2,0.26,0.56,0.1343,21,72,93,38
561,562,38,1,0,1,14,False,2,2,0.3,0.45,0.0,11,57,68,38
562,563,38,1,0,1,15,False,2,2,0.32,0.42,0.0,21,63,84,38
563,564,38,1,0,1,16,False,2,2,0.32,0.42,0.0,14,102,116,38
564,565,38,1,0,1,17,False,2,1,0.3,0.45,0.0,14,208,222,38
565,566,38,1,0,1,18,False,2,2,0.3,0.49,0.0896,7,218,225,38
566,567,38,1,0,1,19,False,2,2,0.26,0.65,0.1642,13,133,146,38
567,568,38,1,0,1,20,False,2,1,0.24,0.65,0.194,16,103,119,38
568,569,38,1,0,1,21,False,2,1,0.24,0.65,0.194,5,40,45,38
569,570,38,1,0,1,22,False,2,1,0.22,0.64,0.1642,4,49,53,38
570,571,38,1,0,1,23,False,2,2,0.22,0.64,0.1642,3,37,40,38
571,572,39,1,0,1,0,False,3,2,0.22,0.69,0.1343,3,14,17,39
572,573,39,1,0,1,1,False,3,2,0.24,0.65,0.1343,0,5,5,39
573,574,39,1,0,1,2,False,3,3,0.22,0.69,0.194,3,7,10,39
574,575,39,1,0,1,5,False,3,3,0.2,0.86,0.2836,0,1,1,39
575,576,39,1,0,1,6,False,3,3,0.2,0.86,0.2836,0,8,8,39
576,577,39,1,0,1,7,False,3,3,0.22,0.87,0.2985,1,29,30,39
577,578,39,1,0,1,8,False,3,3,0.22,0.87,0.2985,3,69,72,39
578,579,39,1,0,1,9,False,3,3,0.22,0.87,0.2985,3,55,58,39
579,580,39,1,0,1,10,False,3,3,0.22,0.93,0.2836,2,26,28,39
580,581,39,1,0,1,11,False,3,3,0.22,0.93,0.3284,6,35,41,39
581,582,39,1,0,1,12,False,3,3,0.22,0.93,0.3284,7,41,48,39
582,583,39,1,0,1,13,False,3,3,0.22,0.93,0.3284,4,43,47,39
583,584,39,1,0,1,14,False,3,3,0.22,0.93,0.3582,0,36,36,39
584,585,39,1,0,1,15,False,3,3,0.22,0.93,0.4627,1,42,43,39
585,586,39,1,0,1,16,False,3,4,0.22,0.93,0.3284,1,35,36,39
586,587,39,1,0,1,17,False,3,3,0.2,0.93,0.3582,0,26,26,39
587,588,40,1,0,1,16,False,4,1,0.22,0.55,0.194,1,23,24,40
588,589,40,1,0,1,17,False,4,1,0.22,0.55,0.1045,2,82,84,40
589,590,40,1,0,1,18,False,4,1,0.2,0.69,0.0896,3,101,104,40
590,591,40,1,0,1,19,False,4,1,0.2,0.69,0.0896,3,76,79,40
591,592,40,1,0,1,20,False,4,1,0.18,0.74,0.0896,4,55,59,40
592,593,40,1,0,1,21,False,4,1,0.18,0.74,0.0896,2,36,38,40
593,594,40,1,0,1,22,False,4,1,0.18,0.74,0.0896,0,27,27,40
594,595,40,1,0,1,23,False,4,1,0.18,0.8,0.1642,0,16,16,40
595,596,41,1,0,1,0,False,5,2,0.2,0.75,0.1343,0,9,9,41
596,597,41,1,0,1,1,False,5,2,0.2,0.75,0.1343,1,2,3,41
597,598,41,1,0,1,2,False,5,2,0.2,0.75,0.1642,0,2,2,41
598,599,41,1,0,1,3,False,5,2,0.2,0.75,0.1045,1,0,1,41
599,600,41,1,0,1,5,False,5,2,0.18,0.8,0.1045,0,4,4,41
600,601,41,1,0,1,6,False,5,2,0.18,0.8,0.1343,0,16,16,41
601,602,41,1,0,1,7,False,5,2,0.16,0.86,0.0896,2,58,60,41
602,603,41,1,0,1,8,False,5,2,0.16,0.86,0.0896,2,155,157,41
603,604,41,1,0,1,9,False,5,3,0.18,0.86,0.0896,6,95,101,41
604,605,41,1,0,1,10,False,5,3,0.18,0.86,0.1045,0,49,49,41
605,606,41,1,0,1,11,False,5,3,0.18,0.93,0.1045,0,30,30,41
606,607,41,1,0,1,12,False,5,3,0.18,0.93,0.1045,1,28,29,41
607,608,41,1,0,1,13,False,5,3,0.18,0.93,0.1045,0,31,31,41
608,609,41,1,0,1,14,False,5,3,0.22,0.8,0.0,2,36,38,41
609,610,41,1,0,1,15,False,5,2,0.2,0.86,0.0,1,40,41,41
0,620,42,1,0,1,1,False,6,1,0.22,0.64,0.194,0,20,20,42
1,621,42,1,0,1,2,False,6,1,0.22,0.64,0.1642,0,15,15,42
2,622,42,1,0,1,3,False,6,1,0.2,0.64,0.1343,3,5,8,42
3,623,42,1,0,1,4,False,6,1,0.16,0.69,0.1045,1,2,3,42
4,624,42,1,0,1,6,False,6,1,0.16,0.64,0.1343,0,2,2,42
5,625,42,1,0,1,7,False,6,1,0.16,0.59,0.1045,1,4,5,42
6,626,42,1,0,1,8,False,6,1,0.18,0.55,0.1642,3,31,34,42
7,627,42,1,0,1,9,False,6,1,0.18,0.59,0.0896,0,34,34,42
8,628,42,1,0,1,10,False,6,2,0.18,0.64,0.1045,4,51,55,42
9,629,42,1,0,1,11,False,6,2,0.18,0.64,0.1343,4,60,64,42
10,630,42,1,0,1,12,False,6,2,0.2,0.59,0.194,12,66,78,42
11,631,42,1,0,1,13,False,6,2,0.22,0.55,0.1642,9,56,65,42
12,632,42,1,0,1,14,False,6,2,0.22,0.6,0.1343,10,89,99,42
13,633,42,1,0,1,15,False,6,1,0.22,0.69,0.2537,22,98,120,42
14,634,42,1,0,1,16,False,6,1,0.24,0.6,0.1642,19,88,107,42
15,635,42,1,0,1,17,False,6,1,0.24,0.6,0.0,9,82,91,42
16,636,42,1,0,1,18,False,6,1,0.22,0.69,0.1343,9,59,68,42
17,637,42,1,0,1,19,False,6,2,0.22,0.69,0.2537,6,52,58,42
18,638,42,1,0,1,20,False,6,1,0.18,0.74,0.0896,1,42,43,42
19,639,42,1,0,1,21,False,6,1,0.18,0.74,0.0896,1,35,36,42
20,640,42,1,0,1,22,False,6,1,0.16,0.8,0.0896,4,28,32,42
21,641,42,1,0,1,23,False,6,1,0.16,0.8,0.0896,3,30,33,42
22,642,43,1,0,1,0,False,0,1,0.16,0.8,0.1045,0,33,33,43
23,643,43,1,0,1,1,False,0,1,0.14,0.8,0.0,7,22,29,43
24,644,43,1,0,1,2,False,0,1,0.16,0.8,0.0,1,10,11,43
25,645,43,1,0,1,3,False,0,1,0.14,0.93,0.0,1,7,8,43
26,646,43,1,0,1,4,False,0,1,0.14,0.93,0.0,0,1,1,43
27,647,43,1,0,1,5,False,0,1,0.14,0.86,0.0,0,3,3,43
28,648,43,1,0,1,7,False,0,1,0.14,0.86,0.0,0,3,3,43
29,649,43,1,0,1,8,False,0,2,0.14,0.86,0.0,1,11,12,43
30,650,43,1,0,1,9,False,0,2,0.16,0.8,0.0,4,34,38,43
31,651,43,1,0,1,10,False,0,2,0.18,0.8,0.0,7,57,64,43
32,652,43,1,0,1,11,False,0,1,0.22,0.75,0.0,9,50,59,43
33,653,43,1,0,1,12,False,0,1,0.3,0.52,0.1045,10,87,97,43
34,654,43,1,0,1,13,False,0,1,0.28,0.61,0.1045,13,71,84,43
35,655,43,1,0,1,14,False,0,1,0.28,0.61,0.0896,18,104,122,43
36,656,43,1,0,1,15,False,0,1,0.3,0.56,0.0,14,95,109,43
37,657,43,1,0,1,16,False,0,1,0.3,0.56,0.0,19,104,123,43
38,658,43,1,0,1,17,False,0,1,0.3,0.56,0.194,6,71,77,43
39,659,43,1,0,1,18,False,0,1,0.26,0.65,0.1642,8,57,65,43
40,660,43,1,0,1,19,False,0,1,0.26,0.65,0.194,9,46,55,43
41,661,43,1,0,1,20,False,0,2,0.26,0.65,0.1045,3,30,33,43
42,662,43,1,0,1,21,False,0,2,0.24,0.7,0.1642,3,25,28,43
43,663,43,1,0,1,22,False,0,2,0.24,0.7,0.194,2,19,21,43
44,664,43,1,0,1,23,False,0,2,0.24,0.65,0.2836,5,16,21,43
45,665,44,1,0,1,0,False,1,2,0.24,0.65,0.2239,1,6,7,44
46,666,44,1,0,1,1,False,1,1,0.22,0.64,0.2537,2,5,7,44
47,667,44,1,0,1,2,False,1,1,0.22,0.64,0.194,0,1,1,44
48,668,44,1,0,1,3,False,1,1,0.22,0.64,0.194,0,2,2,44
49,669,44,1,0,1,4,False,1,1,0.2,0.59,0.2239,0,2,2,44
50,670,44,1,0,1,5,False,1,1,0.18,0.64,0.2836,0,8,8,44
51,671,44,1,0,1,6,False,1,1,0.16,0.69,0.3284,0,37,37,44
52,672,44,1,0,1,7,False,1,2,0.16,0.64,0.2836,1,71,72,44
53,673,44,1,0,1,8,False,1,2,0.16,0.59,0.2836,3,182,185,44
54,674,44,1,0,1,9,False,1,2,0.16,0.59,0.2985,0,112,112,44
55,675,44,1,0,1,10,False,1,2,0.16,0.59,0.194,1,68,69,44
56,676,44,1,0,1,11,False,1,2,0.16,0.59,0.194,2,46,48,44
57,677,44,1,0,1,12,False,1,2,0.18,0.55,0.1045,6,62,68,44
58,678,44,1,0,1,13,False,1,2,0.16,0.59,0.0,2,52,54,44
59,679,44,1,0,1,14,False,1,2,0.18,0.55,0.1343,1,85,86,44
60,680,44,1,0,1,15,False,1,2,0.16,0.59,0.1343,3,41,44,44
61,681,44,1,0,1,16,False,1,2,0.16,0.56,0.194,3,83,86,44
62,682,44,1,0,1,17,False,1,2,0.16,0.59,0.194,6,155,161,44
